SSL pretraining | backbone=resnet50 | method=dino | epochs=300
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_dino_v3_0.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  --resume: restored resnet50 at epoch 77/300 (global_step=42966).
  [ep 82 step 46300] loss=0.8258 feat_std=0.0128 lr=0.00016 m=0.99671
  [ep 83 step 46350] loss=1.0802 feat_std=0.0126 lr=0.00016 m=0.99671
  [ep 83 step 46400] loss=1.1111 feat_std=0.0129 lr=0.00016 m=0.99671
  [ep 83 step 46450] loss=0.9751 feat_std=0.0128 lr=0.00016 m=0.99671
  [ep 83 step 46500] loss=0.9791 feat_std=0.0129 lr=0.00016 m=0.99671
  [ep 83 step 46550] loss=0.9169 feat_std=0.0128 lr=0.00016 m=0.99672
  [ep 83 step 46600] loss=1.0072 feat_std=0.0128 lr=0.00016 m=0.99672
  [ep 83 step 46650] loss=1.0785 feat_std=0.0129 lr=0.00016 m=0.99672
  [ep 83 step 46700] loss=1.1223 feat_std=0.0127 lr=0.00016 m=0.99672
  [ep 83 step 46750] loss=1.0650 feat_std=0.0126 lr=0.00016 m=0.99672
  [ep 83 step 46800] loss=0.9102 feat_std=0.0132 lr=0.00016 m=0.99672
  [ep 83 step 46850] loss=1.0828 feat_std=0.0128 lr=0.00016 m=0.99672
  [ep 84 step 46900] loss=0.9056 feat_std=0.0128 lr=0.00016 m=0.99673
  [ep 84 step 46950] loss=0.8684 feat_std=0.0129 lr=0.00016 m=0.99673
  [ep 84 step 47000] loss=0.9708 feat_std=0.0130 lr=0.00016 m=0.99673
  [ep 84 step 47050] loss=1.1728 feat_std=0.0126 lr=0.00016 m=0.99673
  [ep 84 step 47100] loss=0.9917 feat_std=0.0131 lr=0.00016 m=0.99673
  [ep 84 step 47150] loss=0.9719 feat_std=0.0128 lr=0.00016 m=0.99673
  [ep 84 step 47200] loss=1.0083 feat_std=0.0130 lr=0.00016 m=0.99673
  [ep 84 step 47250] loss=0.9504 feat_std=0.0130 lr=0.00016 m=0.99674
  [ep 84 step 47300] loss=0.9797 feat_std=0.0129 lr=0.00016 m=0.99674
  [ep 84 step 47350] loss=0.9865 feat_std=0.0129 lr=0.00016 m=0.99674
  [ep 84 step 47400] loss=0.9615 feat_std=0.0129 lr=0.00016 m=0.99674
  [ep 85 step 47450] loss=1.0591 feat_std=0.0129 lr=0.00016 m=0.99674
  [ep 85 step 47500] loss=0.9263 feat_std=0.0131 lr=0.00016 m=0.99674
  [ep 85 step 47550] loss=0.9849 feat_std=0.0130 lr=0.00016 m=0.99674
  [ep 85 step 47600] loss=0.9657 feat_std=0.0128 lr=0.00016 m=0.99675
  [ep 85 step 47650] loss=0.8870 feat_std=0.0129 lr=0.00016 m=0.99675
  [ep 85 step 47700] loss=0.9565 feat_std=0.0129 lr=0.00016 m=0.99675
  [ep 85 step 47750] loss=0.9156 feat_std=0.0130 lr=0.00016 m=0.99675
  [ep 85 step 47800] loss=0.9451 feat_std=0.0131 lr=0.00016 m=0.99675
  [ep 85 step 47850] loss=0.9685 feat_std=0.0129 lr=0.00016 m=0.99675
  [ep 85 step 47900] loss=0.9883 feat_std=0.0129 lr=0.00016 m=0.99676
  [ep 85 step 47950] loss=0.9528 feat_std=0.0130 lr=0.00016 m=0.99676
  [ep 86 step 48000] loss=0.9322 feat_std=0.0128 lr=0.00016 m=0.99676
  [ep 86 step 48050] loss=0.9279 feat_std=0.0129 lr=0.00016 m=0.99676
