SSL pretraining | backbone=resnet50 | method=dino | epochs=300
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_dino_v3_0.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  [ep 6 step 3350] loss=4.8318 feat_std=0.0106 lr=0.00011 m=0.99600
  [ep 6 step 3400] loss=4.6959 feat_std=0.0105 lr=0.00011 m=0.99600
  [ep 6 step 3450] loss=4.4241 feat_std=0.0111 lr=0.00012 m=0.99600
  [ep 6 step 3500] loss=4.6748 feat_std=0.0110 lr=0.00012 m=0.99600
  [ep 6 step 3550] loss=4.4657 feat_std=0.0110 lr=0.00012 m=0.99600
  [ep 6 step 3600] loss=4.6621 feat_std=0.0107 lr=0.00012 m=0.99600
  [ep 6 step 3650] loss=4.7821 feat_std=0.0106 lr=0.00012 m=0.99600
  [ep 6 step 3700] loss=4.5848 feat_std=0.0109 lr=0.00012 m=0.99600
  [ep 6 step 3750] loss=4.0758 feat_std=0.0112 lr=0.00013 m=0.99600
  [ep 6 step 3800] loss=4.2242 feat_std=0.0111 lr=0.00013 m=0.99601
  [ep 6 step 3850] loss=4.2455 feat_std=0.0110 lr=0.00013 m=0.99601
  [ep 6 step 3900] loss=4.1013 feat_std=0.0111 lr=0.00013 m=0.99601
  [ep 7 step 3950] loss=4.0683 feat_std=0.0109 lr=0.00013 m=0.99601
  [ep 7 step 4000] loss=3.9503 feat_std=0.0109 lr=0.00013 m=0.99601
  [ep 7 step 4050] loss=3.7994 feat_std=0.0112 lr=0.00014 m=0.99601
  [ep 7 step 4100] loss=3.8423 feat_std=0.0109 lr=0.00014 m=0.99601
  [ep 7 step 4150] loss=3.8521 feat_std=0.0114 lr=0.00014 m=0.99601
  [ep 7 step 4200] loss=3.6861 feat_std=0.0115 lr=0.00014 m=0.99601
  [ep 7 step 4250] loss=3.6807 feat_std=0.0113 lr=0.00014 m=0.99601
  [ep 7 step 4300] loss=3.5425 feat_std=0.0114 lr=0.00014 m=0.99601
  [ep 7 step 4350] loss=3.7340 feat_std=0.0114 lr=0.00015 m=0.99601
  [ep 7 step 4400] loss=3.6782 feat_std=0.0113 lr=0.00015 m=0.99601
  [ep 7 step 4450] loss=3.3262 feat_std=0.0115 lr=0.00015 m=0.99601
  [ep 8 step 4500] loss=3.7597 feat_std=0.0112 lr=0.00015 m=0.99601
  [ep 8 step 4550] loss=3.7727 feat_std=0.0110 lr=0.00015 m=0.99601
  [ep 8 step 4600] loss=3.3341 feat_std=0.0114 lr=0.00015 m=0.99601
  [ep 8 step 4650] loss=3.5413 feat_std=0.0111 lr=0.00016 m=0.99601
  [ep 8 step 4700] loss=3.5590 feat_std=0.0113 lr=0.00016 m=0.99601
  [ep 8 step 4750] loss=3.5642 feat_std=0.0109 lr=0.00016 m=0.99601
  [ep 8 step 4800] loss=3.3470 feat_std=0.0112 lr=0.00016 m=0.99601
  [ep 8 step 4850] loss=3.4698 feat_std=0.0112 lr=0.00016 m=0.99601
  [ep 8 step 4900] loss=3.3905 feat_std=0.0116 lr=0.00016 m=0.99601
  [ep 8 step 4950] loss=3.5239 feat_std=0.0113 lr=0.00017 m=0.99601
  [ep 8 step 5000] loss=3.4536 feat_std=0.0114 lr=0.00017 m=0.99601
