epoch,fold,config,train_loss,val_loss,weighted_f1,roc_auc,kappa,accuracy
4,2,B,1.003356,1.078621,0.726723,0.828625,0.599127,0.709953
5,2,B,0.964742,1.145393,0.729432,0.825686,0.582899,0.725758
6,2,B,0.959361,1.124332,0.770942,0.849788,0.664360,0.789620
7,2,B,0.920711,1.129515,0.563263,0.850790,0.533001,0.480777
8,2,B,0.923691,1.086175,0.688478,0.843272,0.518800,0.647800
9,2,B,0.869205,1.032334,0.711085,0.858670,0.623687,0.673644
10,2,B,0.854928,1.023626,0.747143,0.856520,0.663725,0.729176
11,2,B,0.756041,1.054411,0.718744,0.852840,0.662927,0.676420
0,2,C,1.275596,1.142131,0.718845,0.800456,0.569128,0.734515
0,0,D,1.263316,140.570114,0.637368,0.573575,0.225330,0.653288
1,0,D,1.070386,13.098819,0.597252,0.644301,0.169666,0.573015
2,0,D,0.925837,4.767378,0.554092,0.686525,0.185355,0.483134
3,0,D,0.854001,1.405252,0.597924,0.759888,0.425077,0.539496
4,0,D,0.762181,1.453332,0.697001,0.787544,0.485904,0.677199
5,0,D,0.699141,1.912998,0.529580,0.731880,0.275237,0.451324
6,0,D,0.589051,2.113742,0.547881,0.729911,0.258067,0.470751
7,0,D,0.512646,2.239195,0.570198,0.725389,0.282647,0.496371
8,0,D,0.478251,2.256090,0.597613,0.718752,0.244555,0.535867
9,0,D,0.293771,2.532220,0.588990,0.729867,0.279650,0.527327
