SSL pretraining | backbone=resnet50 | method=byol | epochs=300
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_retrain_v1_2.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  [ep 6 step 3350] loss=0.6612 feat_std=0.0085 lr=0.04504 m=0.99600
  [ep 6 step 3400] loss=0.7612 feat_std=0.0082 lr=0.04571 m=0.99600
  [ep 6 step 3450] loss=0.6194 feat_std=0.0083 lr=0.04638 m=0.99600
  [ep 6 step 3500] loss=0.4835 feat_std=0.0085 lr=0.04706 m=0.99600
  [ep 6 step 3550] loss=0.4925 feat_std=0.0085 lr=0.04773 m=0.99600
  [ep 6 step 3600] loss=0.5312 feat_std=0.0084 lr=0.04840 m=0.99600
  [ep 6 step 3650] loss=0.5151 feat_std=0.0084 lr=0.04907 m=0.99600
  [ep 6 step 3700] loss=0.4901 feat_std=0.0084 lr=0.04974 m=0.99600
  [ep 6 step 3750] loss=0.4209 feat_std=0.0084 lr=0.05042 m=0.99600
  [ep 6 step 3800] loss=0.4295 feat_std=0.0084 lr=0.05109 m=0.99601
  [ep 6 step 3850] loss=0.3946 feat_std=0.0085 lr=0.05176 m=0.99601
  [ep 6 step 3900] loss=0.3969 feat_std=0.0084 lr=0.05243 m=0.99601
  [ep 7 step 3950] loss=0.4253 feat_std=0.0084 lr=0.05310 m=0.99601
  [ep 7 step 4000] loss=0.5123 feat_std=0.0083 lr=0.05378 m=0.99601
  [ep 7 step 4050] loss=0.4421 feat_std=0.0085 lr=0.05445 m=0.99601
  [ep 7 step 4100] loss=0.4028 feat_std=0.0086 lr=0.05512 m=0.99601
  [ep 7 step 4150] loss=0.3644 feat_std=0.0086 lr=0.05579 m=0.99601
  [ep 7 step 4200] loss=0.3655 feat_std=0.0087 lr=0.05647 m=0.99601
  [ep 7 step 4250] loss=0.3977 feat_std=0.0087 lr=0.05714 m=0.99601
  [ep 7 step 4300] loss=0.3386 feat_std=0.0085 lr=0.05781 m=0.99601
  [ep 7 step 4350] loss=0.3966 feat_std=0.0086 lr=0.05848 m=0.99601
  [ep 7 step 4400] loss=0.5007 feat_std=0.0083 lr=0.05915 m=0.99601
  [ep 7 step 4450] loss=0.2928 feat_std=0.0083 lr=0.05983 m=0.99601
  [ep 8 step 4500] loss=0.3616 feat_std=0.0085 lr=0.06050 m=0.99601
  [ep 8 step 4550] loss=0.3122 feat_std=0.0086 lr=0.06117 m=0.99601
  [ep 8 step 4600] loss=0.3465 feat_std=0.0085 lr=0.06184 m=0.99601
  [ep 8 step 4650] loss=0.4293 feat_std=0.0085 lr=0.06251 m=0.99601
  [ep 8 step 4700] loss=0.3969 feat_std=0.0084 lr=0.06319 m=0.99601
  [ep 8 step 4750] loss=0.3135 feat_std=0.0086 lr=0.06386 m=0.99601
  [ep 8 step 4800] loss=0.3757 feat_std=0.0081 lr=0.06453 m=0.99601
  [ep 8 step 4850] loss=0.2661 feat_std=0.0084 lr=0.06520 m=0.99601
  [ep 8 step 4900] loss=0.3014 feat_std=0.0083 lr=0.06587 m=0.99601
  [ep 8 step 4950] loss=0.2962 feat_std=0.0086 lr=0.06655 m=0.99601
  [ep 8 step 5000] loss=0.3217 feat_std=0.0086 lr=0.06722 m=0.99601
  [ep 9 step 5050] loss=0.2192 feat_std=0.0084 lr=0.06789 m=0.99601
  [ep 9 step 5100] loss=0.2635 feat_std=0.0083 lr=0.06856 m=0.99601
  [ep 9 step 5150] loss=0.2541 feat_std=0.0085 lr=0.06923 m=0.99601
  [ep 9 step 5200] loss=0.3158 feat_std=0.0086 lr=0.06991 m=0.99601
  [ep 9 step 5250] loss=0.2338 feat_std=0.0081 lr=0.07058 m=0.99601
  [ep 9 step 5300] loss=0.3603 feat_std=0.0082 lr=0.07125 m=0.99601
  [ep 9 step 5350] loss=0.1900 feat_std=0.0083 lr=0.07192 m=0.99601
  [ep 9 step 5400] loss=0.2642 feat_std=0.0085 lr=0.07259 m=0.99601
  [ep 9 step 5450] loss=0.3035 feat_std=0.0083 lr=0.07327 m=0.99601
  [ep 9 step 5500] loss=0.2492 feat_std=0.0083 lr=0.07394 m=0.99601
  [ep 9 step 5550] loss=0.2545 feat_std=0.0081 lr=0.07461 m=0.99601
  [ep 10 step 5600] loss=0.2439 feat_std=0.0081 lr=0.07500 m=0.99601
  [ep 10 step 5650] loss=0.2689 feat_std=0.0082 lr=0.07500 m=0.99601
  [ep 10 step 5700] loss=0.2397 feat_std=0.0081 lr=0.07500 m=0.99601
  [ep 10 step 5750] loss=0.1771 feat_std=0.0083 lr=0.07500 m=0.99601
  [ep 10 step 5800] loss=0.3166 feat_std=0.0081 lr=0.07500 m=0.99601
  [ep 10 step 5850] loss=0.2165 feat_std=0.0082 lr=0.07500 m=0.99601
  [ep 10 step 5900] loss=0.2972 feat_std=0.0081 lr=0.07500 m=0.99601
  [ep 10 step 5950] loss=0.3629 feat_std=0.0082 lr=0.07500 m=0.99601
  [ep 10 step 6000] loss=0.2036 feat_std=0.0083 lr=0.07500 m=0.99601
  [ep 10 step 6050] loss=0.2979 feat_std=0.0081 lr=0.07500 m=0.99601
  [ep 10 step 6100] loss=0.2461 feat_std=0.0079 lr=0.07500 m=0.99601
  [ep 11 step 6150] loss=0.2366 feat_std=0.0080 lr=0.07500 m=0.99601
  [ep 11 step 6200] loss=0.2124 feat_std=0.0080 lr=0.07500 m=0.99601
  [ep 11 step 6250] loss=0.3329 feat_std=0.0076 lr=0.07500 m=0.99601
  [ep 11 step 6300] loss=0.1680 feat_std=0.0081 lr=0.07500 m=0.99601
  [ep 11 step 6350] loss=0.2537 feat_std=0.0081 lr=0.07500 m=0.99601
  [ep 11 step 6400] loss=0.2640 feat_std=0.0080 lr=0.07500 m=0.99601
  [ep 11 step 6450] loss=0.2337 feat_std=0.0081 lr=0.07499 m=0.99601
  [ep 11 step 6500] loss=0.2008 feat_std=0.0081 lr=0.07499 m=0.99601
  [ep 11 step 6550] loss=0.2159 feat_std=0.0080 lr=0.07499 m=0.99602
  [ep 11 step 6600] loss=0.2075 feat_std=0.0081 lr=0.07499 m=0.99602
  [ep 11 step 6650] loss=0.2111 feat_std=0.0081 lr=0.07499 m=0.99602
  [ep 12 step 6700] loss=0.1975 feat_std=0.0080 lr=0.07499 m=0.99602
  [ep 12 step 6750] loss=0.2159 feat_std=0.0081 lr=0.07499 m=0.99602
  [ep 12 step 6800] loss=0.1916 feat_std=0.0079 lr=0.07499 m=0.99602
  [ep 12 step 6850] loss=0.1911 feat_std=0.0080 lr=0.07499 m=0.99602
  [ep 12 step 6900] loss=0.1902 feat_std=0.0078 lr=0.07499 m=0.99602
  [ep 12 step 6950] loss=0.1942 feat_std=0.0082 lr=0.07499 m=0.99602
  [ep 12 step 7000] loss=0.2034 feat_std=0.0079 lr=0.07499 m=0.99602
  [ep 12 step 7050] loss=0.2070 feat_std=0.0079 lr=0.07498 m=0.99602
