SSL pretraining | backbone=resnet50 | method=mocov2 | epochs=50
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_continual_v4_0.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  [ep 6 step 3350] loss=5.8096 feat_std=0.0162 lr=0.00111 m=0.99614
  [ep 6 step 3400] loss=5.7607 feat_std=0.0163 lr=0.00111 m=0.99614
  [ep 6 step 3450] loss=5.7148 feat_std=0.0161 lr=0.00111 m=0.99615
  [ep 6 step 3500] loss=5.6586 feat_std=0.0164 lr=0.00111 m=0.99615
  [ep 6 step 3550] loss=5.6260 feat_std=0.0162 lr=0.00111 m=0.99616
  [ep 6 step 3600] loss=5.7095 feat_std=0.0161 lr=0.00111 m=0.99616
  [ep 6 step 3650] loss=5.6569 feat_std=0.0164 lr=0.00111 m=0.99617
  [ep 6 step 3700] loss=5.7131 feat_std=0.0163 lr=0.00111 m=0.99617
  [ep 6 step 3750] loss=5.6162 feat_std=0.0161 lr=0.00111 m=0.99618
  [ep 6 step 3800] loss=5.6289 feat_std=0.0161 lr=0.00111 m=0.99618
  [ep 6 step 3850] loss=5.5521 feat_std=0.0162 lr=0.00111 m=0.99619
  [ep 6 step 3900] loss=5.5601 feat_std=0.0159 lr=0.00111 m=0.99619
  [ep 7 step 3950] loss=5.5649 feat_std=0.0161 lr=0.00110 m=0.99619
  [ep 7 step 4000] loss=5.4934 feat_std=0.0160 lr=0.00110 m=0.99620
  [ep 7 step 4050] loss=5.5195 feat_std=0.0160 lr=0.00110 m=0.99620
  [ep 7 step 4100] loss=5.5251 feat_std=0.0161 lr=0.00110 m=0.99621
  [ep 7 step 4150] loss=5.4738 feat_std=0.0161 lr=0.00110 m=0.99621
  [ep 7 step 4200] loss=5.5029 feat_std=0.0159 lr=0.00110 m=0.99622
  [ep 7 step 4250] loss=5.5181 feat_std=0.0159 lr=0.00110 m=0.99622
  [ep 7 step 4300] loss=5.4966 feat_std=0.0159 lr=0.00110 m=0.99623
  [ep 7 step 4350] loss=5.4787 feat_std=0.0160 lr=0.00110 m=0.99624
  [ep 7 step 4400] loss=5.4255 feat_std=0.0159 lr=0.00110 m=0.99624
  [ep 7 step 4450] loss=5.4154 feat_std=0.0159 lr=0.00109 m=0.99625
  [ep 8 step 4500] loss=5.4507 feat_std=0.0158 lr=0.00109 m=0.99625
  [ep 8 step 4550] loss=5.4367 feat_std=0.0158 lr=0.00109 m=0.99626
  [ep 8 step 4600] loss=5.4473 feat_std=0.0157 lr=0.00109 m=0.99626
  [ep 8 step 4650] loss=5.4148 feat_std=0.0157 lr=0.00109 m=0.99627
  [ep 8 step 4700] loss=5.4202 feat_std=0.0157 lr=0.00109 m=0.99627
  [ep 8 step 4750] loss=5.3861 feat_std=0.0158 lr=0.00109 m=0.99628
  [ep 8 step 4800] loss=5.3259 feat_std=0.0158 lr=0.00109 m=0.99629
  [ep 8 step 4850] loss=5.3432 feat_std=0.0157 lr=0.00108 m=0.99629
  [ep 8 step 4900] loss=5.3373 feat_std=0.0158 lr=0.00108 m=0.99630
  [ep 8 step 4950] loss=5.3232 feat_std=0.0157 lr=0.00108 m=0.99630
  [ep 8 step 5000] loss=5.3958 feat_std=0.0158 lr=0.00108 m=0.99631
  [ep 9 step 5050] loss=5.3456 feat_std=0.0157 lr=0.00108 m=0.99631
  [ep 9 step 5100] loss=5.3268 feat_std=0.0156 lr=0.00108 m=0.99632
  [ep 9 step 5150] loss=5.3700 feat_std=0.0155 lr=0.00108 m=0.99633
  [ep 9 step 5200] loss=5.3257 feat_std=0.0156 lr=0.00108 m=0.99633
  [ep 9 step 5250] loss=5.2680 feat_std=0.0156 lr=0.00107 m=0.99634
  [ep 9 step 5300] loss=5.2422 feat_std=0.0157 lr=0.00107 m=0.99635
  [ep 9 step 5350] loss=5.2921 feat_std=0.0155 lr=0.00107 m=0.99635
  [ep 9 step 5400] loss=5.3279 feat_std=0.0155 lr=0.00107 m=0.99636
  [ep 9 step 5450] loss=5.2836 feat_std=0.0156 lr=0.00107 m=0.99636
  [ep 9 step 5500] loss=5.2333 feat_std=0.0156 lr=0.00107 m=0.99637
  [ep 9 step 5550] loss=5.2842 feat_std=0.0154 lr=0.00107 m=0.99638
  [ep 10 step 5600] loss=5.2615 feat_std=0.0155 lr=0.00106 m=0.99638
  [ep 10 step 5650] loss=5.3065 feat_std=0.0154 lr=0.00106 m=0.99639
  [ep 10 step 5700] loss=5.2903 feat_std=0.0154 lr=0.00106 m=0.99640
  [ep 10 step 5750] loss=5.1894 feat_std=0.0155 lr=0.00106 m=0.99640
  [ep 10 step 5800] loss=5.2700 feat_std=0.0154 lr=0.00106 m=0.99641
  [ep 10 step 5850] loss=5.2513 feat_std=0.0154 lr=0.00106 m=0.99642
  [ep 10 step 5900] loss=5.2242 feat_std=0.0155 lr=0.00105 m=0.99643
  [ep 10 step 5950] loss=5.1694 feat_std=0.0154 lr=0.00105 m=0.99643
  [ep 10 step 6000] loss=5.1908 feat_std=0.0156 lr=0.00105 m=0.99644
  [ep 10 step 6050] loss=5.1938 feat_std=0.0154 lr=0.00105 m=0.99645
  [ep 10 step 6100] loss=5.1882 feat_std=0.0155 lr=0.00105 m=0.99645
  [ep 11 step 6150] loss=5.2124 feat_std=0.0154 lr=0.00105 m=0.99646
  [ep 11 step 6200] loss=5.1656 feat_std=0.0153 lr=0.00104 m=0.99647
  [ep 11 step 6250] loss=5.1674 feat_std=0.0153 lr=0.00104 m=0.99648
  [ep 11 step 6300] loss=5.1947 feat_std=0.0154 lr=0.00104 m=0.99648
  [ep 11 step 6350] loss=5.1332 feat_std=0.0152 lr=0.00104 m=0.99649
  [ep 11 step 6400] loss=5.1640 feat_std=0.0154 lr=0.00104 m=0.99650
  [ep 11 step 6450] loss=5.1365 feat_std=0.0153 lr=0.00104 m=0.99650
  [ep 11 step 6500] loss=5.1226 feat_std=0.0154 lr=0.00103 m=0.99651
  [ep 11 step 6550] loss=5.1845 feat_std=0.0153 lr=0.00103 m=0.99652
  [ep 11 step 6600] loss=5.1290 feat_std=0.0153 lr=0.00103 m=0.99653
  [ep 11 step 6650] loss=5.1463 feat_std=0.0153 lr=0.00103 m=0.99653
  [ep 12 step 6700] loss=5.1549 feat_std=0.0154 lr=0.00103 m=0.99654
  [ep 12 step 6750] loss=5.1043 feat_std=0.0151 lr=0.00102 m=0.99655
  [ep 12 step 6800] loss=5.1230 feat_std=0.0154 lr=0.00102 m=0.99656
  [ep 12 step 6850] loss=5.1354 feat_std=0.0152 lr=0.00102 m=0.99657
  [ep 12 step 6900] loss=5.1292 feat_std=0.0151 lr=0.00102 m=0.99657
  [ep 12 step 6950] loss=5.1183 feat_std=0.0152 lr=0.00102 m=0.99658
  [ep 12 step 7000] loss=5.0824 feat_std=0.0153 lr=0.00101 m=0.99659
  [ep 12 step 7050] loss=5.0911 feat_std=0.0151 lr=0.00101 m=0.99660
  [ep 12 step 7100] loss=5.0973 feat_std=0.0153 lr=0.00101 m=0.99661
  [ep 12 step 7150] loss=5.1563 feat_std=0.0152 lr=0.00101 m=0.99661
  [ep 12 step 7200] loss=5.0762 feat_std=0.0150 lr=0.00101 m=0.99662
  [ep 12 step 7250] loss=5.0434 feat_std=0.0152 lr=0.00100 m=0.99663
  [ep 13 step 7300] loss=5.1138 feat_std=0.0151 lr=0.00100 m=0.99664
  [ep 13 step 7350] loss=5.0711 feat_std=0.0151 lr=0.00100 m=0.99665
  [ep 13 step 7400] loss=5.0949 feat_std=0.0151 lr=0.00100 m=0.99666
  [ep 13 step 7450] loss=5.0526 feat_std=0.0150 lr=0.00100 m=0.99666
  [ep 13 step 7500] loss=5.0435 feat_std=0.0152 lr=0.00099 m=0.99667
  [ep 13 step 7550] loss=5.0509 feat_std=0.0150 lr=0.00099 m=0.99668
  [ep 13 step 7600] loss=5.0769 feat_std=0.0149 lr=0.00099 m=0.99669
  [ep 13 step 7650] loss=5.0350 feat_std=0.0149 lr=0.00099 m=0.99670
  [ep 13 step 7700] loss=4.9956 feat_std=0.0152 lr=0.00098 m=0.99671
  [ep 13 step 7750] loss=5.0408 feat_std=0.0150 lr=0.00098 m=0.99671
  [ep 13 step 7800] loss=4.9635 feat_std=0.0151 lr=0.00098 m=0.99672
  [ep 14 step 7850] loss=5.0934 feat_std=0.0150 lr=0.00098 m=0.99673
  [ep 14 step 7900] loss=5.0396 feat_std=0.0151 lr=0.00098 m=0.99674
  [ep 14 step 7950] loss=5.0972 feat_std=0.0149 lr=0.00097 m=0.99675
  [ep 14 step 8000] loss=5.0245 feat_std=0.0151 lr=0.00097 m=0.99676
  [ep 14 step 8050] loss=5.0254 feat_std=0.0151 lr=0.00097 m=0.99677
  [ep 14 step 8100] loss=5.0242 feat_std=0.0149 lr=0.00097 m=0.99678
  [ep 14 step 8150] loss=5.0189 feat_std=0.0150 lr=0.00096 m=0.99678
  [ep 14 step 8200] loss=4.9947 feat_std=0.0150 lr=0.00096 m=0.99679
  [ep 14 step 8250] loss=4.9812 feat_std=0.0151 lr=0.00096 m=0.99680
  [ep 14 step 8300] loss=5.0408 feat_std=0.0149 lr=0.00096 m=0.99681
  [ep 14 step 8350] loss=4.9963 feat_std=0.0150 lr=0.00095 m=0.99682
  [ep 15 step 8400] loss=4.9371 feat_std=0.0149 lr=0.00095 m=0.99683
  [ep 15 step 8450] loss=4.9628 feat_std=0.0149 lr=0.00095 m=0.99684
  [ep 15 step 8500] loss=5.0273 feat_std=0.0150 lr=0.00095 m=0.99685
  [ep 15 step 8550] loss=4.9511 feat_std=0.0150 lr=0.00094 m=0.99686
  [ep 15 step 8600] loss=5.0234 feat_std=0.0148 lr=0.00094 m=0.99687
  [ep 15 step 8650] loss=5.0242 feat_std=0.0148 lr=0.00094 m=0.99688
  [ep 15 step 8700] loss=4.9244 feat_std=0.0148 lr=0.00094 m=0.99689
  [ep 15 step 8750] loss=4.9747 feat_std=0.0147 lr=0.00093 m=0.99689
  [ep 15 step 8800] loss=4.9871 feat_std=0.0148 lr=0.00093 m=0.99690
  [ep 15 step 8850] loss=4.9564 feat_std=0.0149 lr=0.00093 m=0.99691
  [ep 15 step 8900] loss=5.0103 feat_std=0.0148 lr=0.00093 m=0.99692
  [ep 16 step 8950] loss=4.9931 feat_std=0.0147 lr=0.00092 m=0.99693
  [ep 16 step 9000] loss=4.9349 feat_std=0.0149 lr=0.00092 m=0.99694
  [ep 16 step 9050] loss=4.9687 feat_std=0.0149 lr=0.00092 m=0.99695
  [ep 16 step 9100] loss=4.9583 feat_std=0.0150 lr=0.00092 m=0.99696
  [ep 16 step 9150] loss=4.9625 feat_std=0.0148 lr=0.00091 m=0.99697
  [ep 16 step 9200] loss=4.9479 feat_std=0.0148 lr=0.00091 m=0.99698
  [ep 16 step 9250] loss=4.9443 feat_std=0.0147 lr=0.00091 m=0.99699
  [ep 16 step 9300] loss=4.9227 feat_std=0.0147 lr=0.00091 m=0.99700
  [ep 16 step 9350] loss=4.9393 feat_std=0.0148 lr=0.00090 m=0.99701
  [ep 16 step 9400] loss=4.9399 feat_std=0.0147 lr=0.00090 m=0.99702
  [ep 16 step 9450] loss=4.9122 feat_std=0.0147 lr=0.00090 m=0.99703
  [ep 17 step 9500] loss=4.9359 feat_std=0.0147 lr=0.00090 m=0.99704
  [ep 17 step 9550] loss=4.8913 feat_std=0.0147 lr=0.00089 m=0.99705
  [ep 17 step 9600] loss=4.9049 feat_std=0.0148 lr=0.00089 m=0.99706
  [ep 17 step 9650] loss=4.8925 feat_std=0.0147 lr=0.00089 m=0.99707
  [ep 17 step 9700] loss=4.9296 feat_std=0.0147 lr=0.00088 m=0.99708
  [ep 17 step 9750] loss=4.9335 feat_std=0.0147 lr=0.00088 m=0.99709
  [ep 17 step 9800] loss=4.9170 feat_std=0.0147 lr=0.00088 m=0.99710
  [ep 17 step 9850] loss=4.9444 feat_std=0.0147 lr=0.00088 m=0.99711
  [ep 17 step 9900] loss=4.9074 feat_std=0.0147 lr=0.00087 m=0.99712
  [ep 17 step 9950] loss=4.9145 feat_std=0.0145 lr=0.00087 m=0.99713
  [ep 17 step 10000] loss=4.9335 feat_std=0.0145 lr=0.00087 m=0.99714
  [ep 18 step 10050] loss=4.9516 feat_std=0.0146 lr=0.00086 m=0.99715
  [ep 18 step 10100] loss=4.8603 feat_std=0.0146 lr=0.00086 m=0.99716
  [ep 18 step 10150] loss=4.9067 feat_std=0.0145 lr=0.00086 m=0.99717
