epoch,fold,config,train_loss,val_loss,weighted_f1,roc_auc,kappa,accuracy
0,0,exp7_baseline,0.597835,0.544111,0.322380,0.740270,0.374108,0.346154
0,1,exp7_baseline,0.611220,0.534848,0.482191,0.808857,0.681089,0.524272
0,2,exp7_baseline,0.612895,0.545381,0.405695,0.780401,0.607276,0.407767
0,3,exp7_baseline,0.597003,0.517045,0.478271,0.833975,0.626342,0.446602
0,4,exp7_baseline,0.606995,0.562904,0.449003,0.730681,0.533166,0.427184
0,0,exp7_full,0.616099,0.563968,0.418879,0.739490,0.528552,0.432692
0,1,exp7_full,0.602603,0.558111,0.480479,0.763199,0.582205,0.524272
0,2,exp7_full,0.606020,0.524601,0.514487,0.823833,0.742133,0.533981
0,3,exp7_full,0.627727,0.556260,0.452432,0.775568,0.582632,0.504854
0,4,exp7_full,0.603432,0.557973,0.337156,0.729557,0.439009,0.417476
0,0,exp7_baseline,0.597835,0.544111,0.322380,0.740270,0.374108,0.346154
1,0,exp7_baseline,0.402105,0.454365,0.475516,0.793676,0.645585,0.480769
2,0,exp7_baseline,0.242554,0.385067,0.486613,0.824895,0.689607,0.490385
3,0,exp7_baseline,0.117425,0.413015,0.520790,0.846245,0.713592,0.548077
4,0,exp7_baseline,0.040392,0.462989,0.577411,0.830258,0.712834,0.586538
5,0,exp7_baseline,0.016609,0.512380,0.586568,0.827451,0.742001,0.615385
6,0,exp7_baseline,0.006125,0.539181,0.555188,0.826652,0.723036,0.576923
7,0,exp7_baseline,0.011866,0.542358,0.546265,0.813043,0.698411,0.557692
8,0,exp7_baseline,0.006801,0.557581,0.559696,0.834016,0.743652,0.586538
9,0,exp7_baseline,0.006354,0.570510,0.579770,0.827265,0.742114,0.605769
10,0,exp7_baseline,0.004365,0.542697,0.580015,0.835335,0.708991,0.596154
0,1,exp7_baseline,0.609151,0.549822,0.552184,0.820119,0.676225,0.582524
1,1,exp7_baseline,0.428208,0.476409,0.593425,0.822854,0.717867,0.611650
2,1,exp7_baseline,0.276354,0.366779,0.635886,0.867860,0.782473,0.621359
3,1,exp7_baseline,0.128258,0.365324,0.646505,0.878957,0.809462,0.660194
4,1,exp7_baseline,0.049884,0.448308,0.622641,0.865567,0.793945,0.650485
5,1,exp7_baseline,0.017970,0.429253,0.639676,0.872253,0.770914,0.660194
6,1,exp7_baseline,0.010913,0.458948,0.656159,0.861611,0.821080,0.660194
7,1,exp7_baseline,0.008558,0.521428,0.656019,0.857128,0.818910,0.679612
8,1,exp7_baseline,0.006295,0.568208,0.639543,0.844873,0.764976,0.660194
9,1,exp7_baseline,0.003444,0.596053,0.604398,0.840052,0.772193,0.631068
10,1,exp7_baseline,0.006962,0.552145,0.607852,0.849032,0.787747,0.611650
11,1,exp7_baseline,0.004185,0.579054,0.610626,0.841359,0.804283,0.621359
0,2,exp7_baseline,0.602494,0.545464,0.462789,0.775147,0.661303,0.485437
1,2,exp7_baseline,0.412616,0.403153,0.523612,0.837771,0.768033,0.553398
2,2,exp7_baseline,0.274662,0.336522,0.536910,0.857052,0.781765,0.553398
3,2,exp7_baseline,0.153616,0.353642,0.641268,0.868299,0.819430,0.669903
4,2,exp7_baseline,0.071174,0.383456,0.645493,0.868719,0.796987,0.669903
5,2,exp7_baseline,0.029544,0.399425,0.640056,0.880315,0.833851,0.660194
6,2,exp7_baseline,0.028940,0.429097,0.636277,0.868468,0.790151,0.660194
7,2,exp7_baseline,0.014513,0.483724,0.624894,0.871299,0.763914,0.650485
8,2,exp7_baseline,0.013144,0.420825,0.638838,0.877143,0.807958,0.660194
9,2,exp7_baseline,0.005810,0.449248,0.635642,0.878809,0.807467,0.660194
0,3,exp7_baseline,0.600854,0.519563,0.433986,0.794535,0.566379,0.427184
1,3,exp7_baseline,0.402203,0.414137,0.522687,0.839153,0.691834,0.543689
2,3,exp7_baseline,0.252870,0.337878,0.625727,0.868561,0.751316,0.631068
3,3,exp7_baseline,0.141858,0.361357,0.618653,0.856142,0.764829,0.631068
4,3,exp7_baseline,0.071754,0.353216,0.591328,0.867874,0.732683,0.601942
5,3,exp7_baseline,0.027079,0.438335,0.604267,0.851128,0.731259,0.611650
6,3,exp7_baseline,0.021522,0.495511,0.574264,0.842820,0.681375,0.601942
7,3,exp7_baseline,0.010740,0.471923,0.605505,0.851176,0.738953,0.621359
0,4,exp7_baseline,0.594808,0.557530,0.303958,0.732210,0.540709,0.291262
1,4,exp7_baseline,0.386104,0.451920,0.481067,0.789218,0.656245,0.466019
2,4,exp7_baseline,0.245028,0.389257,0.544767,0.835655,0.717055,0.533981
3,4,exp7_baseline,0.117125,0.424772,0.555801,0.833021,0.705555,0.553398
4,4,exp7_baseline,0.043750,0.410381,0.656062,0.851161,0.765720,0.669903
5,4,exp7_baseline,0.032604,0.475803,0.632573,0.843573,0.752355,0.650485
6,4,exp7_baseline,0.014887,0.510482,0.621015,0.836398,0.746189,0.640777
7,4,exp7_baseline,0.011108,0.514446,0.621650,0.844586,0.760135,0.640777
8,4,exp7_baseline,0.008666,0.477271,0.627866,0.847083,0.769586,0.640777
9,4,exp7_baseline,0.008038,0.527416,0.635711,0.848181,0.766974,0.650485
0,0,exp7_full,0.589322,0.520054,0.330291,0.755663,0.560040,0.394231
1,0,exp7_full,0.445836,0.405489,0.474056,0.821344,0.633803,0.471154
2,0,exp7_full,0.324893,0.345582,0.551222,0.854520,0.734387,0.557692
3,0,exp7_full,0.234023,0.325041,0.620368,0.869916,0.781389,0.634615
4,0,exp7_full,0.178579,0.310251,0.588850,0.877755,0.748339,0.596154
5,0,exp7_full,0.158366,0.413026,0.645794,0.874391,0.761900,0.673077
6,0,exp7_full,0.088056,0.380748,0.647058,0.874552,0.777227,0.663462
7,0,exp7_full,0.059143,0.415452,0.640776,0.867180,0.747473,0.653846
8,0,exp7_full,0.039580,0.525645,0.642376,0.865934,0.796140,0.673077
9,0,exp7_full,0.030507,0.588343,0.590396,0.848082,0.752893,0.625000
10,0,exp7_full,0.021802,0.538727,0.597592,0.848716,0.774763,0.605769
11,0,exp7_full,0.009934,0.595046,0.580548,0.851488,0.779934,0.615385
0,1,exp7_full,0.604600,0.537189,0.429433,0.818875,0.731167,0.504854
1,1,exp7_full,0.501541,0.412842,0.547205,0.874217,0.760264,0.592233
2,1,exp7_full,0.362828,0.309769,0.645163,0.892360,0.808202,0.640777
3,1,exp7_full,0.278079,0.279481,0.696308,0.902043,0.861177,0.699029
4,1,exp7_full,0.215183,0.329758,0.669469,0.894190,0.843619,0.689320
5,1,exp7_full,0.143109,0.360699,0.717296,0.895919,0.876221,0.737864
6,1,exp7_full,0.110765,0.362606,0.688383,0.882941,0.851186,0.699029
7,1,exp7_full,0.070450,0.389675,0.663431,0.892554,0.866614,0.679612
8,1,exp7_full,0.048962,0.451936,0.696954,0.888443,0.885450,0.718447
9,1,exp7_full,0.044624,0.425113,0.664940,0.890252,0.865275,0.679612
10,1,exp7_full,0.022823,0.539156,0.699370,0.881457,0.890950,0.728155
0,2,exp7_full,0.624290,0.526000,0.462269,0.827409,0.673218,0.485437
1,2,exp7_full,0.483853,0.377703,0.536175,0.860541,0.845370,0.572816
2,2,exp7_full,0.354544,0.303405,0.568200,0.881154,0.824817,0.572816
3,2,exp7_full,0.263561,0.285708,0.618988,0.886871,0.837340,0.621359
4,2,exp7_full,0.208243,0.321597,0.614631,0.883839,0.787886,0.640777
5,2,exp7_full,0.146800,0.329923,0.613207,0.889995,0.825242,0.631068
6,2,exp7_full,0.116786,0.280827,0.622090,0.891160,0.789649,0.611650
7,2,exp7_full,0.091715,0.322467,0.625664,0.888552,0.777627,0.640777
8,2,exp7_full,0.053809,0.320340,0.631846,0.884495,0.794411,0.631068
9,2,exp7_full,0.038654,0.448502,0.674049,0.889012,0.769261,0.689320
10,2,exp7_full,0.037083,0.458304,0.676411,0.894514,0.806145,0.699029
11,2,exp7_full,0.027837,0.369123,0.665880,0.890720,0.815962,0.660194
12,2,exp7_full,0.021481,0.433427,0.694734,0.887487,0.808506,0.708738
13,2,exp7_full,0.022288,0.362222,0.714502,0.899133,0.833252,0.718447
14,2,exp7_full,0.017560,0.401158,0.705886,0.898404,0.831957,0.718447
15,2,exp7_full,0.020053,0.481521,0.695117,0.897048,0.827328,0.718447
16,2,exp7_full,0.014129,0.461410,0.698038,0.889397,0.788365,0.718447
17,2,exp7_full,0.020475,0.450016,0.683422,0.886477,0.829205,0.708738
18,2,exp7_full,0.017295,0.345173,0.696329,0.897529,0.824188,0.699029
0,3,exp7_full,0.613656,0.531681,0.460624,0.799401,0.656980,0.504854
1,3,exp7_full,0.486270,0.419496,0.451991,0.835203,0.683796,0.514563
2,3,exp7_full,0.347393,0.318739,0.596541,0.876538,0.774274,0.592233
3,3,exp7_full,0.243150,0.305891,0.612957,0.884787,0.776701,0.621359
4,3,exp7_full,0.197386,0.262098,0.608177,0.898001,0.776637,0.611650
