SSL pretraining | backbone=resnet50 | method=mocov2 | epochs=300
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_moco_v2_0.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  [ep 6 step 3350] loss=8.0019 feat_std=0.0059 lr=0.00676 m=0.99600
  [ep 6 step 3400] loss=7.9225 feat_std=0.0058 lr=0.00686 m=0.99600
  [ep 6 step 3450] loss=8.0014 feat_std=0.0059 lr=0.00696 m=0.99600
  [ep 6 step 3500] loss=8.1106 feat_std=0.0059 lr=0.00706 m=0.99600
  [ep 6 step 3550] loss=7.8368 feat_std=0.0059 lr=0.00716 m=0.99600
  [ep 6 step 3600] loss=8.0632 feat_std=0.0059 lr=0.00726 m=0.99600
  [ep 6 step 3650] loss=7.8570 feat_std=0.0058 lr=0.00736 m=0.99600
  [ep 6 step 3700] loss=7.9231 feat_std=0.0061 lr=0.00746 m=0.99600
  [ep 6 step 3750] loss=7.7667 feat_std=0.0059 lr=0.00756 m=0.99600
  [ep 6 step 3800] loss=7.8358 feat_std=0.0059 lr=0.00766 m=0.99601
  [ep 6 step 3850] loss=7.9601 feat_std=0.0059 lr=0.00776 m=0.99601
  [ep 6 step 3900] loss=7.6926 feat_std=0.0061 lr=0.00786 m=0.99601
  [ep 7 step 3950] loss=7.8056 feat_std=0.0063 lr=0.00797 m=0.99601
  [ep 7 step 4000] loss=7.7837 feat_std=0.0059 lr=0.00807 m=0.99601
  [ep 7 step 4050] loss=7.7431 feat_std=0.0063 lr=0.00817 m=0.99601
  [ep 7 step 4100] loss=7.7121 feat_std=0.0063 lr=0.00827 m=0.99601
  [ep 7 step 4150] loss=7.5799 feat_std=0.0066 lr=0.00837 m=0.99601
  [ep 7 step 4200] loss=7.7667 feat_std=0.0067 lr=0.00847 m=0.99601
  [ep 7 step 4250] loss=7.7131 feat_std=0.0062 lr=0.00857 m=0.99601
  [ep 7 step 4300] loss=7.5276 feat_std=0.0064 lr=0.00867 m=0.99601
  [ep 7 step 4350] loss=7.5934 feat_std=0.0065 lr=0.00877 m=0.99601
  [ep 7 step 4400] loss=7.4652 feat_std=0.0064 lr=0.00887 m=0.99601
  [ep 7 step 4450] loss=7.5694 feat_std=0.0067 lr=0.00897 m=0.99601
  [ep 8 step 4500] loss=7.5741 feat_std=0.0061 lr=0.00907 m=0.99601
  [ep 8 step 4550] loss=7.5247 feat_std=0.0067 lr=0.00918 m=0.99601
  [ep 8 step 4600] loss=7.4967 feat_std=0.0067 lr=0.00928 m=0.99601
  [ep 8 step 4650] loss=7.4251 feat_std=0.0066 lr=0.00938 m=0.99601
  [ep 8 step 4700] loss=7.3358 feat_std=0.0066 lr=0.00948 m=0.99601
  [ep 8 step 4750] loss=7.4951 feat_std=0.0065 lr=0.00958 m=0.99601
  [ep 8 step 4800] loss=7.1903 feat_std=0.0068 lr=0.00968 m=0.99601
  [ep 8 step 4850] loss=7.3154 feat_std=0.0069 lr=0.00978 m=0.99601
  [ep 8 step 4900] loss=7.3298 feat_std=0.0066 lr=0.00988 m=0.99601
  [ep 8 step 4950] loss=7.1457 feat_std=0.0069 lr=0.00998 m=0.99601
  [ep 8 step 5000] loss=7.2757 feat_std=0.0070 lr=0.01008 m=0.99601
  [ep 9 step 5050] loss=7.2147 feat_std=0.0069 lr=0.01018 m=0.99601
  [ep 9 step 5100] loss=7.1656 feat_std=0.0069 lr=0.01028 m=0.99601
  [ep 9 step 5150] loss=7.2396 feat_std=0.0068 lr=0.01039 m=0.99601
  [ep 9 step 5200] loss=7.4093 feat_std=0.0066 lr=0.01049 m=0.99601
  [ep 9 step 5250] loss=7.1162 feat_std=0.0071 lr=0.01059 m=0.99601
  [ep 9 step 5300] loss=7.1276 feat_std=0.0071 lr=0.01069 m=0.99601
  [ep 9 step 5350] loss=7.0764 feat_std=0.0071 lr=0.01079 m=0.99601
  [ep 9 step 5400] loss=7.1299 feat_std=0.0067 lr=0.01089 m=0.99601
  [ep 9 step 5450] loss=7.0406 feat_std=0.0068 lr=0.01099 m=0.99601
  [ep 9 step 5500] loss=6.9784 feat_std=0.0071 lr=0.01109 m=0.99601
  [ep 9 step 5550] loss=6.9147 feat_std=0.0070 lr=0.01119 m=0.99601
  [ep 10 step 5600] loss=7.0713 feat_std=0.0068 lr=0.01125 m=0.99601
  [ep 10 step 5650] loss=6.9932 feat_std=0.0070 lr=0.01125 m=0.99601
  [ep 10 step 5700] loss=6.8461 feat_std=0.0073 lr=0.01125 m=0.99601
  [ep 10 step 5750] loss=6.8669 feat_std=0.0069 lr=0.01125 m=0.99601
  [ep 10 step 5800] loss=6.9030 feat_std=0.0068 lr=0.01125 m=0.99601
  [ep 10 step 5850] loss=6.9000 feat_std=0.0070 lr=0.01125 m=0.99601
  [ep 10 step 5900] loss=6.8136 feat_std=0.0070 lr=0.01125 m=0.99601
  [ep 10 step 5950] loss=6.7186 feat_std=0.0074 lr=0.01125 m=0.99601
  [ep 10 step 6000] loss=6.7367 feat_std=0.0073 lr=0.01125 m=0.99601
  [ep 10 step 6050] loss=6.5319 feat_std=0.0072 lr=0.01125 m=0.99601
  [ep 10 step 6100] loss=6.6854 feat_std=0.0074 lr=0.01125 m=0.99601
  [ep 11 step 6150] loss=6.6741 feat_std=0.0073 lr=0.01125 m=0.99601
  [ep 11 step 6200] loss=6.6393 feat_std=0.0074 lr=0.01125 m=0.99601
  [ep 11 step 6250] loss=6.5662 feat_std=0.0074 lr=0.01125 m=0.99601
  [ep 11 step 6300] loss=6.5584 feat_std=0.0072 lr=0.01125 m=0.99601
  [ep 11 step 6350] loss=6.5833 feat_std=0.0073 lr=0.01125 m=0.99601
  [ep 11 step 6400] loss=6.5565 feat_std=0.0073 lr=0.01125 m=0.99601
  [ep 11 step 6450] loss=6.5120 feat_std=0.0071 lr=0.01125 m=0.99601
  [ep 11 step 6500] loss=6.5239 feat_std=0.0076 lr=0.01125 m=0.99601
  [ep 11 step 6550] loss=6.4734 feat_std=0.0073 lr=0.01125 m=0.99602
  [ep 11 step 6600] loss=6.5796 feat_std=0.0075 lr=0.01125 m=0.99602
  [ep 11 step 6650] loss=6.3762 feat_std=0.0077 lr=0.01125 m=0.99602
